Index, Time, Period, Seconds since, Mound, Comment, "LSF"  [CurrentAnalysis.Dry basis], "LSF"  [Rolling.Analysis1.Dry basis], "SM"  [Rolling.Analysis1.Dry basis], "IM"  [Rolling.Analysis1.Dry basis], "Tph"  [Rolling.Analysis1.Dry basis], "IM"  [CurrentProduct.Dry basis], "LSF"  [CurrentProduct.Dry basis], "SM"  [CurrentProduct.Dry basis], "Tph"  [CurrentProduct.Dry basis], "CaO"  [CurrentProduct.Dry basis], "CaO"  [Rolling.Analysis1.Dry basis], "MgO"  [CurrentProduct.Dry basis], "MgO"  [Rolling.Analysis1.Dry basis], "Al2O3"  [CurrentProduct.Dry basis], "Fe2O3"  [CurrentProduct.Dry basis], "Al2O3"  [Rolling.Analysis1.Dry basis], "Fe2O3"  [Rolling.Analysis1.Dry basis], "SiO2"  [CurrentProduct.Dry basis], "SiO2"  [Rolling.Analysis1.Dry basis], "SM"  [CurrentAnalysis.Dry basis], "CaO"  [CurrentAnalysis.Dry basis], "MgO"  [CurrentAnalysis.Dry basis], "IM"  [CurrentAnalysis.Dry basis], "Fe2O3"  [CurrentAnalysis.Dry basis], "Al2O3"  [CurrentAnalysis.Dry basis], "SiO2"  [CurrentAnalysis.Dry basis], "Tph"  [CurrentAnalysis.Dry basis]
1, 29/05/2023 09:00:18, 60.063, 0, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 88.28995, 99.78144, 3.06489, 2.47105, 1154.28337, 2.47105, 99.78144, 3.06489, 1154.28337, 42.82431, 42.82431, 2.30514, 2.30514, 3.17968, 1.28677, 3.17968, 1.28677, 13.68917, 13.68917, 2.95489, 40.10195, 4.15889, 3.01874, 1.21245, 3.66008, 14.39777, 1109.53
2, 29/05/2023 09:01:18, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 94.92612, 99.71731, 3.10467, 2.43218, 1161.40305, 2.4233, 99.4626, 3.09069, 1154.78704, 42.80426, 42.75467, 2.31509, 2.39655, 3.14741, 1.29881, 3.12632, 1.2854, 13.74191, 13.6969, 3.50338, 42.50645, 2.46278, 1.806, 1.47752, 2.66841, 14.52477, 1162.28
3, 29/05/2023 09:02:18, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.85025, 98.83339, 3.14299, 2.41091, 1157.23137, 2.42653, 99.06961, 3.09357, 1151.58878, 42.80462, 42.74985, 2.29136, 2.3503, 3.15848, 1.30164, 3.11178, 1.29071, 13.79769, 13.837, 3.13976, 42.80771, 1.88892, 2.47925, 1.34954, 3.34585, 14.7424, 1097.83
4, 29/05/2023 09:03:18, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 81.85008, 97.41626, 3.18163, 2.42084, 1149.34533, 2.42781, 98.06793, 3.11144, 1147.08474, 42.70628, 42.62567, 2.31684, 2.37085, 3.16751, 1.30468, 3.1172, 1.28765, 13.91498, 14.01462, 3.42894, 40.85356, 2.79263, 2.45066, 1.36107, 3.33552, 16.10431, 1064.35
5, 29/05/2023 09:04:18, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 86.45332, 95.38599, 3.20475, 2.4046, 1137.44761, 2.39665, 97.43949, 3.14313, 1142.73601, 42.68603, 42.46307, 2.30016, 2.38149, 3.14618, 1.31274, 3.1449, 1.30787, 14.01498, 14.27, 3.80592, 42.28597, 1.97254, 1.85404, 1.47094, 2.72718, 15.97776, 1058
6, 29/05/2023 09:05:18, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 84.96738, 93.97543, 3.21994, 2.3846, 1132.33103, 2.38654, 96.80105, 3.15276, 1139.05675, 42.62306, 42.38403, 2.30983, 2.32895, 3.14983, 1.31983, 3.16515, 1.32733, 14.09176, 14.46555, 3.34117, 41.32303, 2.5086, 2.20015, 1.46556, 3.22446, 15.67018, 1064.12
7, 29/05/2023 09:06:19, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 88.0941, 92.93909, 3.23368, 2.33878, 1134.13242, 2.35405, 96.35055, 3.18061, 1140.91558, 42.55412, 42.21, 2.34561, 2.40179, 3.12238, 1.32638, 3.15755, 1.35008, 14.14978, 14.57621, 3.78033, 41.20947, 3.0421, 1.77983, 1.45391, 2.58772, 15.2787, 1176.83
8, 29/05/2023 09:07:19, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 105.08072, 93.14338, 3.23849, 2.3284, 1130.49854, 2.33984, 96.7276, 3.18563, 1140.27285, 42.62064, 42.26347, 2.30698, 2.37063, 3.10526, 1.32712, 3.14635, 1.35129, 14.1199, 14.56557, 3.30025, 44.01384, 1.49517, 2.0449, 1.34249, 2.74526, 13.49061, 1126.63
9, 29/05/2023 09:08:19, 60.056, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 93.22456, 92.34962, 3.26954, 2.29012, 1121.39961, 2.34203, 96.58061, 3.19133, 1137.18761, 42.64232, 42.22919, 2.26709, 2.33643, 3.10741, 1.3268, 3.12859, 1.36612, 14.15103, 14.69564, 3.32671, 43.1466, 1.30956, 2.39488, 1.31864, 3.15799, 14.89246, 1064.62
10, 29/05/2023 09:09:19, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 99.18618, 91.54834, 3.26381, 2.32353, 1114.98716, 2.34974, 96.6809, 3.18298, 1135.22729, 42.61023, 42.09165, 2.30524, 2.40833, 3.11209, 1.32444, 3.16398, 1.36172, 14.12139, 14.77104, 2.98623, 41.84326, 3.21575, 2.54225, 1.26808, 3.22376, 13.41368, 1088.2
11, 29/05/2023 09:10:19, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 91.48421, 91.02846, 3.25928, 2.38443, 1110.36086, 2.36632, 96.48237, 3.18433, 1132.60109, 42.53663, 41.92433, 2.36615, 2.53168, 3.11821, 1.31774, 3.19704, 1.3408, 14.12552, 14.79009, 3.21873, 40.66667, 3.91265, 2.85225, 1.14763, 3.27332, 14.22987, 1065.58
12, 29/05/2023 09:11:19, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 90.41281, 91.16903, 3.26607, 2.34561, 1110.11739, 2.36495, 96.24361, 3.18683, 1132.26182, 42.48452, 41.88012, 2.39583, 2.56561, 3.1194, 1.31901, 3.16786, 1.35055, 14.14445, 14.75745, 3.24898, 41.16988, 3.14449, 2.33116, 1.35101, 3.14942, 14.62178, 1123.73
13, 29/05/2023 09:12:19, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 96.75298, 91.22646, 3.25297, 2.33317, 1110.23331, 2.34877, 96.26255, 3.18804, 1132.423, 42.49883, 41.85101, 2.37859, 2.59024, 3.11264, 1.32522, 3.17026, 1.35878, 14.14806, 14.7328, 3.2197, 42.86962, 1.93053, 1.97564, 1.4865, 2.93679, 14.24167, 1136.59
14, 29/05/2023 09:13:19, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 87.10004, 91.04358, 3.28785, 2.29989, 1106.86107, 2.34588, 95.93274, 3.18832, 1130.97308, 42.4281, 41.83365, 2.4236, 2.61927, 3.11679, 1.32862, 3.13188, 1.36175, 14.1734, 14.77439, 3.1959, 40.43458, 3.69105, 2.27004, 1.42443, 3.23351, 14.88633, 1090.39
15, 29/05/2023 09:14:19, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 91.27612, 91.31327, 3.27625, 2.27661, 1105.07097, 2.35313, 95.76741, 3.17619, 1130.91089, 42.41868, 41.83478, 2.40696, 2.63233, 3.13495, 1.33224, 3.12334, 1.37193, 14.18866, 14.7276, 2.87534, 42.14451, 1.93443, 2.5437, 1.43474, 3.64956, 14.6191, 1129.17
16, 29/05/2023 09:15:19, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 87.94673, 91.27579, 3.32497, 2.19273, 1108.03756, 2.3297, 95.48693, 3.19154, 1131.63154, 42.37266, 41.89795, 2.43066, 2.56224, 3.11819, 1.33845, 3.05362, 1.39261, 14.22353, 14.78361, 3.65898, 41.06802, 3.10238, 1.74544, 1.5143, 2.64311, 15.21189, 1152.11
17, 29/05/2023 09:16:19, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 86.15046, 90.65419, 3.27077, 2.2532, 1109.22963, 2.3401, 95.15659, 3.17648, 1133.20129, 42.31817, 41.77251, 2.45189, 2.60495, 3.14232, 1.34281, 3.13651, 1.39203, 14.24692, 14.81181, 2.80944, 40.73144, 3.06828, 2.61531, 1.46942, 3.84298, 14.92485, 1178.35
18, 29/05/2023 09:17:19, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 94.55303, 90.77001, 3.24458, 2.25858, 1112.51845, 2.34661, 95.13747, 3.16354, 1133.61045, 42.31869, 41.74289, 2.43666, 2.60836, 3.15704, 1.34536, 3.15524, 1.397, 14.24351, 14.77011, 2.80884, 42.33349, 1.9682, 2.53547, 1.42371, 3.60978, 14.13831, 1146.13
19, 29/05/2023 09:18:19, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 99.86051, 91.99129, 3.25065, 2.22718, 1122.79981, 2.33474, 95.28233, 3.17394, 1136.17574, 42.28667, 41.76927, 2.48866, 2.70028, 3.13601, 1.34319, 3.09717, 1.39062, 14.21672, 14.58825, 3.53663, 41.33564, 4.01723, 1.96762, 1.2792, 2.51698, 13.42567, 1212.78
20, 29/05/2023 09:19:19, 60.057, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 101.80585, 93.02826, 3.20217, 2.27471, 1132.2085, 2.34182, 95.47817, 3.16914, 1138.11537, 42.33024, 41.87324, 2.46217, 2.67007, 3.13979, 1.34075, 3.13156, 1.37669, 14.19948, 14.43615, 3.02083, 43.69158, 1.63446, 2.57666, 1.26437, 3.25786, 13.66088, 1198.68
21, 29/05/2023 09:20:19, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 99.87713, 94.03558, 3.19397, 2.28247, 1139.98399, 2.34109, 95.60695, 3.17044, 1139.4544, 42.3489, 41.98301, 2.46255, 2.66632, 3.13551, 1.33934, 3.1164, 1.36536, 14.18726, 14.31465, 3.2141, 42.93958, 2.47435, 2.31684, 1.29364, 2.99715, 13.79103, 1183.17
22, 29/05/2023 09:21:19, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.47239, 94.3517, 3.159, 2.32093, 1140.98479, 2.34006, 95.51387, 3.17153, 1140.94442, 42.33967, 42.03912, 2.46303, 2.62757, 3.13652, 1.34036, 3.15633, 1.35994, 14.19856, 14.2669, 3.20752, 42.02977, 2.47912, 2.30632, 1.37457, 3.1702, 14.57745, 1190.76
23, 29/05/2023 09:22:19, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 91.63132, 93.49932, 3.15055, 2.29605, 1141.66108, 2.32168, 95.40706, 3.17119, 1140.83611, 42.30775, 41.84851, 2.49019, 2.75905, 3.13082, 1.34852, 3.16834, 1.37991, 14.20484, 14.32947, 3.15918, 41.16259, 3.46315, 1.78389, 1.64066, 2.92675, 14.42928, 1136.93
24, 29/05/2023 09:23:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 93.94827, 93.54576, 3.10813, 2.30862, 1145.77045, 2.32842, 95.36934, 3.15764, 1140.59223, 42.28066, 41.73053, 2.50862, 2.87602, 3.14473, 1.35059, 3.20151, 1.38676, 14.19462, 14.26092, 2.71282, 41.26934, 3.19628, 2.56605, 1.42784, 3.6639, 13.81294, 1131.51
25, 29/05/2023 09:24:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 82.79483, 92.47989, 3.07907, 2.30534, 1148.17027, 2.33189, 95.03556, 3.14154, 1140.24243, 42.19495, 41.53754, 2.55302, 2.94523, 3.16521, 1.35736, 3.24928, 1.40946, 14.20782, 14.34461, 2.63781, 38.86222, 4.2765, 2.44412, 1.62012, 3.95977, 14.71871, 1126.81
26, 29/05/2023 09:25:20, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 94.4604, 92.68014, 3.06004, 2.27536, 1161.16146, 2.32996, 95.01999, 3.13546, 1143.48302, 42.16166, 41.5515, 2.58078, 2.93001, 3.16797, 1.35967, 3.24893, 1.42787, 14.19621, 14.31121, 2.93018, 40.99128, 3.55607, 2.26604, 1.44073, 3.26476, 13.78797, 1257.86
27, 29/05/2023 09:26:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 90.20194, 92.6618, 3.01727, 2.30221, 1163.28945, 2.34038, 94.89832, 3.12117, 1143.81361, 42.13784, 41.55227, 2.58492, 2.90425, 3.18733, 1.36189, 3.30204, 1.43429, 14.19888, 14.2908, 2.64589, 41.18963, 2.74905, 2.72844, 1.45003, 3.95631, 14.30458, 1156.86
28, 29/05/2023 09:27:20, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 98.89849, 92.80435, 2.97727, 2.3071, 1168.23278, 2.33276, 94.99363, 3.10767, 1145.47389, 42.1096, 41.43053, 2.61398, 3.02464, 3.19136, 1.36807, 3.32872, 1.44282, 14.16922, 14.20613, 2.6328, 41.02386, 3.72616, 2.08522, 1.6044, 3.34554, 13.03221, 1209.72
29, 29/05/2023 09:28:20, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 87.7715, 92.80341, 2.97742, 2.27943, 1176.81003, 2.32066, 94.80472, 3.10928, 1147.38664, 42.09953, 41.50995, 2.60612, 2.9336, 3.19068, 1.3749, 3.32326, 1.45794, 14.19568, 14.23564, 3.1701, 41.68796, 2.29176, 1.91989, 1.64726, 3.16257, 15.24766, 1222.52
30, 29/05/2023 09:29:20, 60.057, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 81.47309, 92.07243, 3.02575, 2.26387, 1179.72588, 2.32006, 94.45892, 3.12139, 1148.02778, 42.07129, 41.42766, 2.6111, 2.98931, 3.18885, 1.37447, 3.28872, 1.4527, 14.24393, 14.34632, 3.64659, 40.86731, 2.82198, 2.29436, 1.3559, 3.11092, 16.28867, 1174.9
31, 29/05/2023 09:30:20, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 83.88077, 91.75539, 3.04563, 2.26755, 1182.36281, 2.30727, 94.19209, 3.1395, 1149.04888, 42.04568, 41.41972, 2.62057, 2.98414, 3.17432, 1.37579, 3.28177, 1.44728, 14.2851, 14.40294, 4.01686, 40.96064, 3.02214, 1.78683, 1.43192, 2.55859, 16.02932, 1192.23
32, 29/05/2023 09:31:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 76.19369, 90.98065, 3.1036, 2.23158, 1182.06498, 2.30185, 93.73592, 3.15133, 1149.60019, 41.99164, 41.3445, 2.63502, 2.99795, 3.17277, 1.37836, 3.23313, 1.4488, 14.34214, 14.53085, 3.67529, 39.56187, 3.28049, 2.07852, 1.49276, 3.10273, 16.88973, 1173.84
33, 29/05/2023 09:32:20, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 89.70973, 90.66936, 3.14021, 2.1879, 1183.34408, 2.29162, 93.64551, 3.15571, 1149.95901, 41.99141, 41.32249, 2.62739, 3.0172, 3.16775, 1.38232, 3.18964, 1.45786, 14.3587, 14.59412, 3.35687, 41.9801, 2.2801, 1.88123, 1.56239, 2.93921, 15.1113, 1166.2
34, 29/05/2023 09:33:20, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 84.07234, 89.6554, 3.08518, 2.20906, 1179.06796, 2.29175, 93.43836, 3.14434, 1149.93152, 41.9404, 41.20449, 2.65485, 3.0079, 3.18125, 1.38813, 3.27732, 1.48358, 14.36767, 14.68827, 2.69725, 39.51919, 3.9561, 2.29694, 1.66335, 3.82063, 14.79166, 1148.64
35, 29/05/2023 09:34:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 85.08401, 88.56402, 3.10515, 2.12441, 1178.94884, 2.26744, 93.24575, 3.14821, 1150.93121, 41.93569, 41.06988, 2.64617, 3.04977, 3.174, 1.39981, 3.24901, 1.52937, 14.39932, 14.83756, 3.31942, 41.71638, 2.24444, 1.46259, 1.94069, 2.83843, 15.86387, 1196.95
36, 29/05/2023 09:35:20, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 88.22936, 87.82786, 3.09809, 2.09192, 1174.43514, 2.25672, 93.14349, 3.14718, 1150.1773, 41.93759, 41.0014, 2.63755, 3.03548, 3.17411, 1.40651, 3.26184, 1.55926, 14.41608, 14.93619, 3.09878, 42.03329, 2.19873, 1.81971, 1.74748, 3.17989, 15.26886, 1112.01
37, 29/05/2023 09:36:20, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.33719, 87.79034, 3.07428, 2.0726, 1168.08438, 2.25088, 93.12852, 3.14089, 1149.06218, 41.93661, 40.98563, 2.62784, 3.01621, 3.17782, 1.41181, 3.27509, 1.58018, 14.4155, 14.92646, 2.83777, 41.87904, 2.11038, 1.99249, 1.69367, 3.37463, 14.38269, 1090.35
38, 29/05/2023 09:37:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 93.17078, 87.88684, 3.06899, 2.09421, 1170.18206, 2.24782, 93.12933, 3.13957, 1149.45758, 41.90758, 40.93909, 2.65817, 3.06424, 3.1755, 1.4127, 3.28344, 1.56786, 14.405, 14.88858, 3.07356, 40.46658, 4.15867, 2.10088, 1.45673, 3.06042, 13.88376, 1169.24
39, 29/05/2023 09:38:20, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 85.20021, 87.3359, 3.0968, 2.06934, 1169.94594, 2.24543, 92.96743, 3.13921, 1149.05418, 41.92703, 41.04673, 2.62714, 2.92165, 3.18183, 1.41703, 3.27393, 1.58212, 14.43679, 15.03824, 3.12202, 42.96203, 0.95825, 2.13555, 1.64895, 3.52143, 16.14203, 1127.71
40, 29/05/2023 09:39:20, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.63254, 87.96783, 3.12577, 2.04073, 1171.93367, 2.24043, 92.96109, 3.13689, 1149.22346, 41.93893, 41.28633, 2.61344, 2.7671, 3.18295, 1.42069, 3.22801, 1.58179, 14.44113, 15.03436, 3.02092, 42.5654, 1.89014, 2.00866, 1.61405, 3.24208, 14.67, 1158.11
41, 29/05/2023 09:40:21, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 87.92537, 87.52833, 3.16058, 1.98824, 1161.65507, 2.22457, 92.87067, 3.14264, 1148.49916, 41.91342, 41.25658, 2.63303, 2.77092, 3.17218, 1.42597, 3.18319, 1.60101, 14.45032, 15.12082, 3.48677, 40.48943, 3.72707, 1.49362, 1.721, 2.57052, 14.96354, 1108
42, 29/05/2023 09:41:21, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 85.53103, 87.22547, 3.17243, 1.99041, 1162.31957, 2.23462, 92.73503, 3.13549, 1148.83199, 41.865, 41.12597, 2.66835, 2.89391, 3.1839, 1.42481, 3.17455, 1.59493, 14.45058, 15.13084, 2.79294, 39.24995, 4.57555, 2.80319, 1.36173, 3.81719, 14.46439, 1166.82
43, 29/05/2023 09:42:21, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 86.30401, 86.44208, 3.20352, 1.99033, 1158.27553, 2.23184, 92.61823, 3.13381, 1148.8728, 41.83427, 41.06548, 2.68993, 2.90146, 3.18593, 1.42749, 3.17065, 1.59302, 14.45759, 15.26054, 3.04533, 40.12326, 3.89154, 2.09173, 1.57696, 3.29857, 14.8476, 1151.15
44, 29/05/2023 09:43:21, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.22598, 86.7254, 3.16905, 2.02321, 1155.09106, 2.23522, 92.6113, 3.12532, 1149.39087, 41.8293, 41.05521, 2.69376, 2.94443, 3.19498, 1.42938, 3.20719, 1.5852, 14.45262, 15.1873, 2.71039, 41.55362, 2.9061, 2.40957, 1.53416, 3.69666, 14.17752, 1178.14
45, 29/05/2023 09:44:21, 60.06, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.60806, 87.49886, 3.12674, 2.0212, 1156.8597, 2.2351, 92.61124, 3.12281, 1150.2879, 41.83254, 41.13468, 2.69707, 2.94811, 3.19748, 1.43057, 3.22262, 1.59442, 14.45255, 15.06165, 2.99041, 42.00992, 2.87916, 2.229, 1.49629, 3.33523, 14.4482, 1200.04
46, 29/05/2023 09:45:21, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 96.73429, 88.34538, 3.06861, 2.04831, 1153.61212, 2.23498, 92.67885, 3.12086, 1150.19407, 41.8497, 41.262, 2.6862, 2.88281, 3.1982, 1.43098, 3.26972, 1.5963, 14.447, 14.93195, 3.00729, 42.85761, 2.04681, 2.22803, 1.45449, 3.24065, 14.11967, 1144.64
47, 29/05/2023 09:46:21, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 94.10063, 89.65156, 3.0191, 2.07031, 1157.70748, 2.23828, 92.70356, 3.11691, 1151.60567, 41.85415, 41.4346, 2.6827, 2.82811, 3.20272, 1.43088, 3.29403, 1.59108, 14.44253, 14.74865, 2.90735, 42.10313, 2.48651, 2.42372, 1.42578, 3.45571, 14.1922, 1230.64
48, 29/05/2023 09:47:21, 66.063, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 92.69368, 89.87, 3.00301, 2.09601, 1152.48629, 2.2388, 92.70338, 3.11629, 1150.57691, 41.87104, 41.49812, 2.67178, 2.80926, 3.20481, 1.43149, 3.31956, 1.58375, 14.44805, 14.72471, 3.0832, 42.80096, 2.07064, 2.26665, 1.46468, 3.31991, 14.75182, 1094.05
49, 29/05/2023 09:48:27, 60.062, 66.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 96.41277, 90.66301, 3.04313, 2.08077, 1152.88429, 2.23629, 92.7596, 3.11901, 1150.6422, 41.8573, 41.59493, 2.68842, 2.79442, 3.19825, 1.43016, 3.25192, 1.56284, 14.43606, 14.65196, 3.30541, 41.01187, 3.70634, 2.07371, 1.34849, 2.79639, 13.70055, 1154.68
50, 29/05/2023 09:49:27, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 95.29815, 91.37598, 3.02475, 2.12652, 1151.14318, 2.23168, 92.79923, 3.1179, 1150.98134, 41.86651, 41.64305, 2.6785, 2.78292, 3.19665, 1.43239, 3.26979, 1.53762, 14.43287, 14.54125, 3.04898, 42.4384, 2.06093, 1.97046, 1.57166, 3.09691, 14.23439, 1171.98
51, 29/05/2023 09:50:27, 60.057, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 90.15499, 91.505, 3.01869, 2.15936, 1152.7507, 2.23264, 92.75859, 3.11612, 1150.77758, 41.85719, 41.59284, 2.68283, 2.83172, 3.19938, 1.433, 3.28245, 1.5201, 14.43505, 14.49743, 3.00574, 41.25182, 2.96449, 2.29318, 1.47262, 3.37697, 14.57662, 1137.57
52, 29/05/2023 09:51:27, 60.063, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 88.09253, 91.22815, 3.02289, 2.17418, 1156.57868, 2.23224, 92.68682, 3.11272, 1150.79504, 41.83399, 41.49171, 2.69658, 2.92587, 3.20304, 1.4349, 3.28715, 1.51191, 14.43661, 14.50703, 2.90845, 40.32718, 3.58935, 2.20837, 1.55794, 3.44051, 14.53776, 1151.93
53, 29/05/2023 09:52:27, 60.057, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 94.32401, 91.29943, 3.00913, 2.18246, 1154.98708, 2.23217, 92.7106, 3.10883, 1150.71172, 41.8361, 41.59221, 2.69295, 2.81161, 3.20594, 1.43624, 3.30979, 1.51654, 14.43176, 14.52305, 2.86373, 41.97497, 2.45005, 2.22816, 1.52588, 3.3999, 14.10612, 1145.18
54, 29/05/2023 09:53:27, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 97.09474, 92.09029, 3.00471, 2.18643, 1154.64852, 2.23163, 92.77126, 3.1082, 1150.30445, 41.84123, 41.54327, 2.6936, 2.92438, 3.20459, 1.43598, 3.28361, 1.50181, 14.42382, 14.3788, 3.06357, 42.19274, 2.7383, 2.19399, 1.41839, 3.11195, 13.87899, 1122.3
55, 29/05/2023 09:54:27, 60.062, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 102.95776, 92.74228, 2.99108, 2.22818, 1157.66608, 2.23764, 92.91302, 3.10378, 1151.08642, 41.85162, 41.54363, 2.69138, 2.96627, 3.20713, 1.43327, 3.29242, 1.47763, 14.4028, 14.26757, 2.81648, 42.52549, 2.54685, 2.68291, 1.25697, 3.37234, 13.03837, 1202.02
56, 29/05/2023 09:55:27, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 95.95712, 93.2673, 2.98225, 2.28369, 1161.72454, 2.23767, 92.95665, 3.10658, 1151.38554, 41.85865, 41.6627, 2.69081, 2.89741, 3.20359, 1.43166, 3.31593, 1.452, 14.39981, 14.21915, 3.31062, 42.32958, 2.65268, 2.24002, 1.32363, 2.96495, 14.19786, 1171.68
57, 29/05/2023 09:56:28, 60.059, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 106.81276, 94.63409, 2.98898, 2.2539, 1163.00431, 2.23884, 93.13863, 3.1033, 1151.88351, 41.87584, 41.91503, 2.69012, 2.76927, 3.20218, 1.43028, 3.26859, 1.45019, 14.3759, 14.10433, 2.87288, 43.02535, 2.64344, 2.32277, 1.33738, 3.10643, 12.76651, 1185.76
58, 29/05/2023 09:57:28, 60.061, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 106.40781, 95.91033, 2.96777, 2.27094, 1161.9748, 2.2402, 93.30256, 3.09795, 1151.65273, 41.8866, 42.08, 2.69373, 2.70776, 3.20289, 1.42973, 3.26564, 1.43801, 14.35163, 13.95934, 2.71808, 42.64817, 2.95035, 2.34007, 1.39015, 3.25306, 12.62061, 1135.01
59, 29/05/2023 09:58:28, 60.058, 60.06, Pila 4023 norte[Pila 4023 norte], AC mantencion 03-03-2016 ., 101.58971, 96.51372, 2.99063, 2.21836, 1159.10386, 2.23166, 93.40622, 3.09701, 1151.41888, 41.8844, 42.0919, 2.7051, 2.74785, 3.1964, 1.4323, 3.20173, 1.44329, 14.33514, 13.89149, 3.02469, 41.71839, 3.52565, 1.6864, 1.6173, 2.72742, 13.14142, 1134.31
